0x100,1x99,2x98,3x97,4x96,5x95,6x94,7x93,8x92,9x91,10x90,11x89,12x88,13x87,14x86,15x85,16x84,17x83,18x82,19x81,20x80,21x79,22x78,23x77,24x76,25x75,26x74,27x73,28x72,29x71,30x70,31x69,32x68,33x67,34x66,35x65,36x64,37x63,38x62,39x61,40x60,41x59,42x58,43x57,44x56,45x55,46x54,47x53,48x52,49x51,50x50,51x49,52x48,53x47,54x46,55x45,56x44,57x43,58x42,59x41,60x40,61x39,62x38,63x37,64x36,65x35,66x34,67x33,68x32,69x31,70x30,71x29,72x28,73x27,74x26,75x25,76x24,77x23,78x22,79x21,80x20,81x19,82x18,83x17,84x16,85x15,86x14,87x13,88x12,89x11,90x10,91x9,92x8,93x7,94x6,95x5,96x4,97x3,98x2,99x1,100x0
-0.019,-0.64,0.179,-0.379,-0.06,0.0,-0.26,0.36,0.54,-0.18,0.68,0.04,1.12,0.0,-1.159,0.24,-0.26,-0.66,0.54,1.0,0.88,-0.12,-0.159,0.019,-0.74,-0.14,-0.599,0.319,-0.62,0.28,-0.779,0.62,0.439,0.36,-0.58,0.679,0.38,-1.039,-0.62,-0.1,-0.26,-0.259,-0.399,-0.28,-0.459,-0.679,1.299,-0.44,-0.339,-0.34,-1.04,-0.32,-0.419,-0.239,-0.639,0.259,0.339,-0.16,0.179,-0.24,0.419,-0.939,-1.0,-0.279,0.379,0.659,-0.179,-0.779,0.38,-0.339,-0.119,-0.78,0.62,0.6,0.339,0.56,0.34,-0.379,0.82,-0.419,-0.56,-0.24,0.0,-0.58,-0.12,-0.339,-0.42,0.999,0.399,0.06,-0.5,-0.18,0.16,0.0,-0.12,0.079,0.92,-0.28,0.339,-0.62,-0.599
1.08,-0.219,-0.8,0.28,0.819,0.34,0.58,0.08,0.4,-0.44,0.099,-0.68,0.6,-0.7,-0.219,-0.08,0.66,0.02,-0.8,-0.479,0.479,-0.12,-0.679,-0.4,-0.999,-0.36,-0.08,0.459,-0.94,-0.639,-0.04,-0.54,-0.18,0.0,-0.639,0.62,-0.48,-0.32,0.38,-0.139,0.66,-0.02,-0.92,0.32,0.219,-0.28,0.179,-0.26,-0.04,-0.38,-0.66,0.099,0.1,0.28,0.76,0.4,-0.339,0.7,-0.019,0.24,-0.58,0.66,-0.18,-0.66,-0.48,-0.639,-0.379,0.04,-0.139,-0.06,0.379,0.04,-0.36,0.419,0.7,-0.679,-0.6,-0.42,0.74,0.419,0.44,0.679,-0.12,-0.599,-0.24,0.2,0.059,-0.139,0.019,0.02,-1.34,0.44,-0.64,-0.42,-0.28,0.599,0.06,0.919,-0.459,-0.639,-0.059
-0.46,-1.16,0.379,0.26,0.7,0.679,-0.82,0.22,0.419,-0.68,-0.259,-0.14,0.62,-0.08,0.28,0.739,0.58,0.5,-0.019,0.679,-0.379,0.099,-0.4,-0.339,0.439,-0.28,0.019,0.599,-1.24,-0.24,-0.24,0.239,-0.32,0.259,-0.339,0.3,0.12,0.419,-0.62,0.0,-0.059,-0.04,-0.16,-0.32,-1.26,0.16,-0.42,-0.099,0.92,0.979,0.08,-0.6,0.1,-0.2,0.48,-0.06,0.879,-0.46,0.3,0.2,-0.84,-0.059,0.339,0.659,-0.439,0.519,-0.399,-0.1,-0.08,-0.18,-0.1,-0.48,0.5,0.28,0.459,0.44,0.2,-1.02,-0.58,0.12,-0.4,-0.08,0.2,-1.02,0.34,-0.16,-0.879,-0.2,0.259,-0.459,0.32,-0.2,-0.18,1.04,-0.02,0.16,0.819,-0.98,-0.48,0.699,-0.16
-0.879,-0.5,-0.019,-0.719,-1.2,-0.1,0.1,-0.58,-0.08,-0.5,0.339,-0.64,0.96,0.62,-0.62,-0.44,0.06,0.599,0.04,0.44,0.48,0.0,0.54,0.7,-0.6,-0.4,0.019,-0.62,-0.259,-0.919,0.0,0.54,0.6,0.22,0.12,0.08,0.04,1.04,-0.56,0.32,0.4,0.56,0.139,-0.24,-0.04,0.62,-0.019,0.04,0.599,-0.1,1.38,-0.019,-0.2,-0.38,0.399,-0.62,-0.46,-0.679,-0.24,0.679,-0.1,-0.419,0.019,-0.339,0.98,-1.38,-0.68,-0.26,0.36,-0.299,0.34,-0.04,-0.7,-0.919,-0.58,-0.32,-0.04,0.719,-0.739,-0.2,-0.06,-0.319,-0.259,-0.4,-0.319,-0.32,-0.32,-0.88,-0.64,-0.3,-0.18,0.419,0.46,-0.02,-0.68,-0.16,0.279,0.08,0.08,-0.299,-0.399
-0.739,0.1,-0.68,-0.5,-0.34,-0.4,0.16,-0.019,-0.16,0.38,0.36,-1.06,0.0,0.24,0.94,-0.04,0.02,1.16,0.32,0.1,-0.32,-0.159,0.52,-0.14,0.179,0.4,-0.799,-0.54,-0.1,-0.219,0.52,-0.06,0.299,0.06,0.22,1.459,-0.06,0.44,-0.02,0.619,-0.12,0.0,0.299,0.299,0.019,0.36,0.699,-0.659,-0.059,-0.419,0.02,1.079,-1.319,0.24,0.22,0.24,0.0,0.36,-1.04,0.299,0.08,0.719,0.36,-1.0,0.62,0.16,-0.56,-1.24,-0.32,-0.58,-0.679,0.019,0.28,-0.08,0.139,-0.28,0.48,0.059,-0.02,-0.28,-0.199,-1.02,-0.039,0.6,0.4,1.119,-0.379,0.06,0.219,-0.32,0.679,-0.44,0.12,0.54,-0.16,-0.679,0.659,0.2,-0.48,0.2,-0.36
-0.219,-0.54,-0.08,0.76,-0.2,-0.12,-0.28,-0.44,0.16,0.179,-0.24,-0.02,0.34,0.319,-0.98,0.299,0.42,-0.06,1.18,0.62,0.019,-0.04,0.039,0.099,0.54,-0.4,-0.32,-0.08,-0.28,0.22,-0.22,0.0,0.18,0.2,0.08,0.62,-0.24,-0.68,-0.04,0.28,-0.56,0.16,0.6,-0.98,-0.24,-1.019,-0.24,-1.34,0.459,-0.019,0.74,0.639,-0.18,0.8,0.379,-0.019,-0.6,0.72,-0.44,-1.12,0.019,0.699,-0.219,-0.62,-0.26,0.0,-0.14,0.28,-0.02,-0.4,-0.259,0.879,0.259,-1.68,-0.399,0.08,-1.359,0.44,-0.919,0.059,0.2,-0.6,0.379,-0.419,0.66,0.74,-0.239,-0.4,-0.36,0.399,0.3,0.62,0.28,-0.06,-1.159,0.599,-0.299,0.36,-0.359,-0.019,-0.28
0.459,0.12,0.179,0.059,0.02,0.04,1.06,0.26,0.04,0.799,0.46,0.799,0.1,0.379,-0.299,-1.16,0.18,-0.32,-0.08,-0.28,0.24,0.3,-0.28,0.119,0.62,0.139,1.24,-0.14,-0.62,-0.12,-0.1,0.059,-0.08,0.16,0.419,-1.599,-0.34,-0.419,-0.2,-0.1,0.28,0.479,-0.299,0.08,0.66,-0.839,0.799,0.16,0.72,0.259,-0.54,0.24,-0.459,1.079,-0.56,-0.32,0.779,0.12,0.06,-0.259,-0.34,0.56,0.44,-0.919,-0.98,0.139,0.04,-0.32,-0.099,-0.62,0.299,-0.04,0.239,0.76,-0.359,0.12,-0.62,0.119,-0.939,0.779,0.4,0.04,-0.419,0.379,-0.4,0.08,-0.339,0.2,0.139,0.48,-0.839,1.24,1.179,-0.02,0.18,0.12,0.24,0.219,0.32,-0.06,-0.839
-0.04,0.5,-0.06,-0.019,0.339,0.34,-0.44,0.52,0.34,-0.4,0.799,-0.259,-0.28,-1.38,-0.22,0.48,-0.239,-0.919,-0.78,0.28,-0.8,-0.36,-0.88,0.0,-0.12,1.02,-0.4,0.379,-0.04,0.459,-0.4,0.28,0.059,-0.74,1.079,0.159,0.32,-0.54,0.019,0.68,-0.34,-0.02,-0.5,-0.08,-0.58,0.019,0.36,-0.96,0.759,0.859,0.54,-0.32,0.4,-0.299,0.26,0.459,0.0,-0.879,-0.68,-0.079,-0.06,0.48,0.259,0.36,0.62,-0.08,-0.419,0.419,0.78,0.759,-0.02,0.36,-0.04,0.14,0.04,-0.32,-0.339,0.66,-0.279,-0.56,0.68,0.04,-0.34,1.64,-0.479,-0.359,-0.42,-0.28,0.059,-0.7,-0.379,0.12,0.2,0.12,0.62,0.459,-0.96,-0.32,0.019,0.099,-0.16
-0.32,0.259,-0.519,-0.4,0.12,-0.26,-0.419,0.0,-0.18,-0.4,0.02,-0.299,0.98,-0.719,0.66,-0.2,-0.62,0.5,0.699,-0.36,-0.159,-0.4,-0.359,0.34,-0.68,0.06,0.24,-0.819,-0.019,0.44,1.28,0.739,-0.66,-0.5,-0.58,0.34,-0.56,-0.119,0.419,-0.84,0.339,-0.419,-0.44,-1.059,-0.839,0.759,0.019,0.16,-0.28,-0.24,0.7,-0.34,-0.32,-1.499,-0.379,0.04,-0.62,0.3,0.439,0.599,0.36,-0.16,-0.12,-0.44,-0.54,0.859,-0.34,0.339,0.38,0.04,-0.12,0.02,-0.96,-0.68,0.3,0.82,-0.04,-0.199,0.439,-0.12,0.0,-0.06,0.74,0.62,0.58,-0.08,0.18,-0.1,0.459,0.799,0.62,-0.679,0.18,0.36,-0.419,-0.02,0.02,0.019,-0.56,-0.28,0.72
0.099,0.059,0.619,0.08,0.419,-1.159,-0.399,-0.219,-0.4,-0.259,-0.759,0.659,-0.139,0.08,-0.66,-0.94,-0.319,1.12,-0.379,-0.38,0.84,0.96,-0.54,0.4,-0.82,-0.019,-0.18,0.54,-0.479,-0.48,-0.04,0.24,0.16,-1.86,-0.179,-0.639,0.519,-0.08,0.2,0.299,-0.12,0.1,-0.219,0.599,0.0,-1.38,0.299,-0.66,-0.92,0.86,-0.24,-0.24,-0.759,0.099,1.08,-0.14,0.12,0.299,-0.259,0.58,-0.42,0.599,0.06,-0.759,0.38,-0.06,-0.219,-0.66,0.759,-0.459,0.179,-0.74,-0.12,-0.4,-0.2,0.32,0.32,0.7,-0.32,-0.82,-0.08,1.0,-0.06,-0.679,0.219,-0.359,-0.759,0.639,-0.379,-0.96,0.08,0.74,0.66,-0.639,0.32,-0.4,-0.2,0.3,-0.58,-0.52,0.56
